#﻿MIN=0	-90	-90	-90
#MAX=56.5685424949238	90	90	90
#SCALE=56.5685424949238	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	9.9	0	-11.16
0.054	10.26	0	-12.42
0.109	10.8	0	-13.5
0.164	11.16	0	-14.4
0.216	11.52	0	-14.94
0.269	11.88	0	-15.48
0.324	12.42	0.18	-15.66
0.379	12.78	0.36	-15.66
0.433	12.96	0.54	-15.48
0.488	12.96	0.72	-15.3
0.544	12.96	0.9	-15.12
0.598	12.96	0.9	-15.12
0.649	12.78	1.08	-15.3
0.702	12.6	1.08	-15.3
0.754	12.42	1.08	-15.12
0.809	12.42	1.08	-15.12
0.862	12.24	0.9	-14.94
0.918	12.24	0.72	-14.76
0.97	12.24	0.72	-14.58
1.024	12.06	0.54	-14.4
1.077	12.06	0.36	-14.4
1.129	11.88	0.18	-14.4
1.182	11.7	0	-14.4
1.234	11.7	0	-14.22
1.287	11.7	-0.18	-14.22
1.343	11.52	-0.18	-14.04
1.4	11.34	-0.18	-14.04
1.458	11.34	0	-14.04
1.512	11.34	0.18	-14.04
1.567	11.34	0.18	-14.04
1.623	11.34	0.36	-14.04
1.677	11.34	0.54	-14.04
1.731	11.52	0.72	-14.04
1.781	11.52	0.9	-14.04
1.836	11.7	0.9	-14.04
1.887	11.7	1.08	-14.04
1.938	11.7	1.08	-13.86
1.99	11.52	1.08	-13.68
2.043	11.52	0.9	-13.68
2.098	11.34	0.72	-13.5
2.151	11.34	0.54	-13.5
2.206	11.34	0.54	-13.5
2.26	11.52	0.36	-13.68
2.312	11.52	0.18	-13.68
2.364	11.34	0	-13.86
2.418	11.34	0	-13.86
2.471	11.16	-0.18	-13.86
2.528	11.16	-0.18	-13.68
2.584	11.16	-0.18	-13.68
2.64	11.34	0	-13.86
2.693	11.52	0	-14.04
2.745	11.7	0.18	-14.22
2.797	11.7	0.36	-14.22
2.853	11.7	0.54	-13.86
2.908	10.98	0.72	-11.7
2.963	8.46	0.9	-7.38
3.018	4.14	0.9	-1.8
3.071	-0.54	0.9	4.32
